name,pair_type
S11-SLF1:S7-RNase,incompatiable
S11-SLF2:S17-RNase,incompatiable
S11-SLF2:S9-RNase,compatiable
S11-SLF3:S19-RNase,incompatiable
S9-SLF1:S3-RNase,compatiable
S9-SLF1:S5-RNase,incompatiable
S11-SLF1:S17-RNase,compatiable
S11-SLF1:S19-RNase,incompatiable
S11-SLF2:S5-RNase,incompatiable
S5-SLF1:S9-RNase,compatiable
S11-SLF1:S5-RNase,incompatiable
S5-SLF1:S7-RNase,incompatiable
S7-SLF1:S9-RNase,compatiable
S9-SLF1:S7-RNase,incompatiable
S11-SLF1:S9-RNase,incompatiable
S11-SLF2:S19-RNase,incompatiable
S11-SLF2:S7-RNase,incompatiable
S11-SLF3:S17-RNase,incompatiable
S7-SLF1:S5-RNase,incompatiable
S11-SLF3:S7-RNase,compatiable
S5-SLF1:S19-RNase,incompatiable
S7-SLF1:S11-RNase,incompatiable
S7-SLF1:S17-RNase,compatiable
S7-SLF2:S5-RNase,incompatiable
S5-SLF2:S11-RNase,compatiable
S5-SLF2:S17-RNase,incompatiable
S5-SLF2:S7-RNase,incompatiable
S7-SLF2:S19-RNase,compatiable
S7-SLF2:S9-RNase,compatiable
S7-SLF3:S11-RNase,incompatiable
S7-SLF3:S17-RNase,incompatiable
S9-SLF1:S11-RNase,incompatiable
S9-SLF1:S17-RNase,compatiable
S11-SLF3:S5-RNase,incompatiable
S5-SLF2:S19-RNase,incompatiable
S5-SLF2:S9-RNase,compatiable
S7-SLF2:S11-RNase,compatiable
S7-SLF2:S17-RNase,incompatiable
S7-SLF3:S19-RNase,incompatiable
S7-SLF3:S9-RNase,incompatiable
S9-SLF1:S19-RNase,incompatiable
S11-SLF3:S9-RNase,incompatiable
S5-SLF1:S11-RNase,incompatiable
S5-SLF1:S17-RNase,compatiable
S7-SLF1:S19-RNase,incompatiable
S7-SLF3:S5-RNase,incompatiable
